tamanho,insercao,busca,remocao
1,0.000000055,0.000000047,0.000000057
5,0.000000224,0.000000092,0.000000297
10,0.000000680,0.000000222,0.000000819
25,0.000002362,0.000003842,0.000002959
50,0.000005339,0.000001252,0.000005260
100,0.000009924,0.000002789,0.000011145
250,0.000028011,0.000008008,0.000037605
1000,0.000145887,0.000040357,0.000134654
2500,0.000411368,0.000125160,0.000374384
5000,0.000865947,0.000297067,0.000770318
7500,0.001446854,0.000472194,0.001295735
10000,0.002065178,0.000697766,0.001846613
25000,0.007055095,0.002528284,0.005806784
50000,0.016034376,0.006306533,0.013107537
75000,0.026644093,0.010324416,0.020496913
100000,0.039445386,0.015135941,0.027888019
250000,0.130980622,0.056697541,0.071213348
500000,0.189973382,0.093066529,0.069325284
750000,0.168333552,0.082665748,0.044348054
1000000,0.223565443,0.108761086,0.045685626
2500000,0.570773315,0.276735867,0.049648124
5000000,1.337726796,0.718145039,0.058307714
10000000,2.431764243,1.183940524,0.067317777
25000000,5.961030907,3.036675352,0.097309739
50000000,11.435741379,5.735010294,0.145314274
100000000,23.400976603,11.498457791,0.251466276
